id,booking_pred,cancel_prob
42280,1,0.5817
42281,0,0.0043
42282,0,0.2989
42283,0,0.1501
42284,1,0.5288
42285,0,0.0393
42286,0,0.0787
42287,1,0.6682
42288,0,0.162
42289,1,0.8508
42290,0,0.0398
42291,1,0.8096
42292,0,0.0792
42293,1,0.8731
42294,1,0.9745
42295,0,0.0731
42296,0,0.0146
42297,0,0.1219
42298,0,0.0712
42299,1,0.7262
42300,1,0.838
42301,0,0.2895
42302,0,0.182
42303,0,0.21
42304,0,0.0194
42305,0,0.4847
42306,0,0.216
42307,0,0.0677
42308,0,0.0996
42309,0,0.2897
42310,0,0.3447
42311,1,0.7693
42312,0,0.0609
42313,1,0.8489
42314,1,0.6804
42315,0,0.0676
42316,1,0.5409
42317,0,0.3575
42318,0,0.4933
42319,0,0.0261
42320,1,0.5489
42321,0,0.2626
42322,1,0.9314
42323,0,0.0539
42324,0,0.4699
42325,0,0.0067
42326,1,0.5626
42327,0,0.065
42328,0,0.025
42329,0,0.0715
42330,1,0.8154
42331,0,0.3504
42332,0,0.2048
42333,1,0.7231
42334,0,0.0242
42335,1,0.6741
42336,0,0.0424
42337,1,0.7147
42338,0,0.0455
42339,0,0.0216
42340,0,0.1273
42341,1,0.767
42342,1,0.9388
42343,0,0.4164
42344,0,0.2956
42345,0,0.077
42346,1,0.9497
42347,1,0.8171
42348,1,0.9508
42349,0,0.0604
42350,0,0.3082
42351,0,0.0324
42352,1,0.8192
42353,1,0.8655
42354,0,0.1896
42355,0,0.1595
42356,0,0.3971
42357,0,0.0102
42358,1,0.9583
42359,0,0.1144
42360,1,0.7988
42361,0,0.1225
42362,1,0.6971
42363,0,0.1931
42364,0,0.407
42365,0,0.2092
42366,0,0.0065
42367,1,0.8263
42368,1,0.7905
42369,1,0.8764
42370,0,0.2191
42371,0,0.0273
42372,0,0.2322
42373,1,0.9716
42374,1,0.8388
42375,1,0.5282
42376,0,0.0517
42377,1,0.9604
42378,1,0.6004
42379,0,0.3924
42380,0,0.0672
42381,0,0.0237
42382,1,0.6305
42383,1,0.9543
42384,0,0.0817
42385,0,0.0092
42386,1,0.7664
42387,1,0.5996
42388,0,0.0305
42389,0,0.0094
42390,1,0.8799
42391,0,0.1473
42392,0,0.0236
42393,0,0.1183
42394,0,0.1252
42395,1,0.5553
42396,0,0.2146
42397,1,0.9438
42398,0,0.0684
42399,0,0.4402
42400,0,0.2356
42401,0,0.1191
42402,1,0.7962
42403,1,0.7905
42404,0,0.4075
42405,0,0.3433
42406,0,0.4116
42407,0,0.1446
42408,0,0.067
42409,0,0.2675
42410,1,0.8772
42411,0,0.0079
42412,1,0.9666
42413,1,0.7492
42414,1,0.6749
42415,0,0.1128
42416,1,0.7968
42417,0,0.0809
42418,0,0.379
42419,0,0.2747
42420,0,0.201
42421,0,0.0257
42422,0,0.3383
42423,1,0.5184
42424,1,0.9107
42425,0,0.3296
42426,0,0.2546
42427,0,0.1352
42428,0,0.1265
42429,1,0.9678
42430,0,0.1098
42431,1,0.8066
42432,1,0.9555
42433,0,0.1412
42434,0,0.0004
42435,0,0.0667
42436,0,0.255
42437,0,0.0994
42438,0,0.1259
42439,1,0.9585
42440,0,0.3769
42441,1,0.9589
42442,0,0.1674
42443,0,0.1954
42444,0,0.0238
42445,0,0.0851
42446,1,0.6957
42447,0,0.2311
42448,0,0.0963
42449,0,0.1162
42450,0,0.2878
42451,0,0.1169
42452,0,0.0506
42453,0,0.014
42454,0,0.3093
42455,0,0.1588
42456,0,0.3975
42457,0,0.0468
42458,0,0.1934
42459,0,0.375
42460,1,0.7672
42461,0,0.0953
42462,1,0.7849
42463,0,0.169
42464,1,0.9106
42465,0,0.1224
42466,1,0.7178
42467,0,0.2696
42468,1,0.5329
42469,0,0.3509
42470,0,0.122
42471,0,0.3262
42472,1,0.7308
42473,0,0.0325
42474,0,0.1729
42475,0,0.054
42476,0,0.0068
42477,0,0.2297
42478,1,0.8977
42479,1,0.8471
42480,0,0.0081
42481,0,0.0752
42482,0,0.0627
42483,0,0.2787
42484,0,0.3966
42485,0,0.0037
42486,1,0.8425
42487,0,0.4875
42488,0,0.0105
42489,0,0.2394
42490,0,0.1736
42491,1,0.7386
42492,1,0.5477
42493,0,0.0468
42494,0,0.1829
42495,0,0.3571
42496,0,0.3616
42497,0,0.0075
42498,0,0.1318
42499,0,0.0755
42500,0,0.1828
42501,0,0.4107
42502,0,0.4612
42503,1,0.9047
42504,0,0.0332
42505,0,0.0004
42506,0,0.3397
42507,0,0.0168
42508,0,0.0639
42509,0,0.2227
42510,1,0.6786
42511,0,0.2835
42512,0,0.1674
42513,0,0.0946
42514,0,0.0263
42515,0,0.3487
42516,0,0.414
42517,1,0.6798
42518,1,0.9192
42519,0,0.4317
42520,1,0.5026
42521,0,0.0091
42522,0,0.2985
42523,0,0.2392
42524,0,0.3126
42525,1,0.7364
42526,1,0.8445
42527,0,0.2625
42528,1,0.6529
42529,1,0.6628
42530,0,0.4093
42531,1,0.8853
42532,0,0.2434
42533,0,0.3303
42534,0,0.0785
42535,1,0.9711
42536,0,0.0559
42537,0,0.1021
42538,1,0.8361
42539,0,0.2944
42540,0,0.0586
42541,0,0.2362
42542,0,0.1908
42543,0,0.2931
42544,0,0.0208
42545,1,0.8176
42546,0,0.0252
42547,0,0.3215
42548,0,0.4615
42549,1,0.5312
42550,1,0.6934
42551,1,0.9688
42552,1,0.707
42553,0,0.01
42554,0,0.0087
42555,0,0.428
42556,0,0.1777
42557,0,0.3535
42558,0,0.312
42559,0,0.1309
42560,0,0.2616
42561,1,0.7842
42562,1,0.8161
42563,1,0.8231
42564,1,0.6136
42565,1,0.8747
42566,1,0.963
42567,0,0.031
42568,0,0.014
42569,0,0.0508
42570,1,0.5382
42571,0,0.0002
42572,0,0.1794
42573,0,0.2346
42574,1,0.8021
42575,1,0.862
42576,0,0.0882
42577,0,0.1672
42578,0,0.0025
42579,0,0.0361
42580,0,0.0024
42581,1,0.9707
42582,0,0.1736
42583,0,0.0503
42584,0,0.011
42585,0,0.2154
42586,0,0.0982
42587,1,0.9219
42588,0,0.2322
42589,1,0.5619
42590,1,0.9738
42591,0,0.1496
42592,0,0.1726
42593,1,0.537
42594,0,0.0603
42595,0,0.0832
42596,0,0.329
42597,0,0.1492
42598,0,0.381
42599,0,0.4109
42600,0,0.0
42601,1,0.8167
42602,1,0.9655
42603,0,0.0438
42604,1,0.5334
42605,1,0.7213
42606,1,0.6807
42607,1,0.5123
42608,0,0.3843
42609,0,0.0003
42610,1,0.6348
42611,1,0.8378
42612,0,0.0575
42613,0,0.0834
42614,0,0.0127
42615,0,0.1062
42616,1,0.841
42617,0,0.2365
42618,1,0.5715
42619,0,0.2862
42620,1,0.8016
42621,1,0.8715
42622,1,0.5426
42623,1,0.8913
42624,0,0.0204
42625,0,0.0986
42626,1,0.8734
42627,1,0.5449
42628,1,0.6374
42629,1,0.8596
42630,1,0.8091
42631,0,0.3195
42632,0,0.0066
42633,0,0.0564
42634,0,0.2875
42635,0,0.1325
42636,0,0.2208
42637,0,0.4185
42638,0,0.0173
42639,1,0.8361
42640,0,0.0367
42641,0,0.0443
42642,0,0.3751
42643,0,0.059
42644,0,0.1317
42645,0,0.3878
42646,1,0.6826
42647,0,0.0464
42648,0,0.0771
42649,0,0.119
42650,1,0.6389
42651,0,0.3043
42652,0,0.2469
42653,0,0.0781
42654,0,0.2511
42655,0,0.1135
42656,0,0.3057
42657,1,0.9086
42658,0,0.1321
42659,0,0.4304
42660,1,0.5295
42661,0,0.1604
42662,1,0.9589
42663,0,0.056
42664,0,0.0535
42665,1,0.5174
42666,1,0.7838
42667,0,0.0597
42668,0,0.0443
42669,1,0.8929
42670,1,0.8085
42671,0,0.0821
42672,1,0.9695
42673,0,0.2921
42674,0,0.0007
42675,0,0.1824
42676,0,0.3668
42677,0,0.3727
42678,0,0.0663
42679,0,0.0643
42680,0,0.4931
42681,0,0.0061
42682,1,0.9354
42683,1,0.9634
42684,0,0.0286
42685,0,0.1161
42686,0,0.4434
42687,0,0.0684
42688,1,0.5511
42689,1,0.9099
42690,0,0.3869
42691,0,0.0037
42692,0,0.1232
42693,1,0.5541
42694,0,0.0899
42695,0,0.1936
42696,0,0.4116
42697,0,0.4421
42698,0,0.4908
42699,0,0.4127
42700,0,0.3901
42701,0,0.0079
42702,0,0.091
42703,0,0.3944
42704,0,0.1791
42705,0,0.0163
42706,0,0.0812
42707,0,0.0052
42708,0,0.1129
42709,0,0.0139
42710,0,0.2689
42711,0,0.4206
42712,0,0.3483
42713,0,0.0113
42714,0,0.1518
42715,0,0.131
42716,0,0.3401
42717,0,0.0241
42718,0,0.1193
42719,0,0.0613
42720,1,0.7318
42721,1,0.7791
42722,0,0.2185
42723,0,0.1596
42724,0,0.324
42725,0,0.0079
42726,0,0.0883
42727,1,0.803
42728,0,0.1335
42729,1,0.957
42730,1,0.8075
42731,0,0.0136
42732,1,0.5544
42733,1,0.8328
42734,0,0.3011
42735,0,0.1068
42736,1,0.8688
42737,0,0.3614
42738,0,0.0134
42739,0,0.163
42740,0,0.1174
42741,1,0.824
42742,0,0.0422
42743,1,0.814
42744,1,0.7862
42745,1,0.726
42746,0,0.0364
42747,1,0.8615
42748,1,0.949
42749,0,0.3015
42750,0,0.4902
42751,0,0.0286
42752,0,0.0356
42753,0,0.4083
42754,0,0.403
42755,1,0.7852
42756,0,0.1341
42757,0,0.0455
42758,1,0.7865
42759,1,0.9434
42760,0,0.1309
42761,0,0.0276
42762,1,0.897
42763,0,0.1979
42764,1,0.9392
42765,0,0.2341
42766,0,0.0272
42767,0,0.0044
42768,1,0.5627
42769,0,0.0332
42770,0,0.0558
42771,1,0.8411
42772,0,0.1562
42773,1,0.6647
42774,0,0.1377
42775,0,0.027
42776,0,0.1025
42777,0,0.2021
42778,0,0.3194
42779,0,0.0787
42780,0,0.0695
42781,0,0.4507
42782,0,0.0829
42783,0,0.1308
42784,1,0.7503
42785,1,0.5489
42786,0,0.004
42787,1,0.5974
42788,0,0.4159
42789,1,0.981
42790,0,0.1993
42791,0,0.074
42792,0,0.1212
42793,0,0.1804
42794,0,0.1843
42795,1,0.709
42796,1,0.8973
42797,0,0.0753
42798,1,0.862
42799,0,0.0828
42800,1,0.629
42801,1,0.7336
42802,0,0.0472
42803,0,0.0359
42804,0,0.0671
42805,0,0.0205
42806,0,0.477
42807,0,0.2034
42808,0,1e-04
42809,0,0.0487
42810,1,0.9308
42811,1,0.8084
42812,0,0.1666
42813,1,0.7732
42814,1,0.5144
42815,0,0.0717
42816,0,0.0837
42817,1,0.5088
42818,0,0.1422
42819,0,0.1376
42820,1,0.6582
42821,0,0.0329
42822,1,0.806
42823,1,0.8225
42824,0,0.094
42825,0,0.0048
42826,1,0.9744
42827,0,0.3476
42828,1,0.8022
42829,0,0.3659
42830,1,0.8517
42831,1,0.9539
42832,0,0.0934
42833,1,0.8934
42834,0,0.1808
42835,1,0.7423
42836,1,0.5095
42837,1,0.8325
42838,0,0.0156
42839,1,0.8877
42840,0,0.0379
42841,0,0.0007
42842,0,0.2934
42843,1,0.9512
42844,0,0.3467
42845,0,0.1497
42846,1,0.7799
42847,0,0.0399
42848,0,0.0095
42849,0,0.0153
42850,0,0.2885
42851,0,0.3705
42852,1,0.5049
42853,1,0.8795
42854,0,0.0796
42855,0,0.006
42856,0,0.0524
42857,1,0.676
42858,0,0.2154
42859,0,0.0321
42860,0,0.2466
42861,0,0.0332
42862,0,0.0123
42863,0,0.0087
42864,1,0.9594
42865,1,0.7532
42866,0,0.1827
42867,0,0.0542
42868,1,0.7869
42869,0,0.0777
42870,0,0.0992
42871,1,0.8597
42872,0,0.2541
42873,0,0.1568
42874,0,0.3719
42875,1,0.8136
42876,1,0.7692
42877,0,0.2017
42878,0,0.4578
42879,1,0.6087
42880,0,0.0126
42881,0,0.0067
42882,1,0.6522
42883,1,0.7275
42884,0,0.1025
42885,1,0.8676
42886,1,0.8768
42887,0,0.2112
42888,0,0.4251
42889,1,0.8699
42890,1,0.8206
42891,0,0.2836
42892,0,0.1569
42893,0,0.1546
42894,0,0.0772
42895,0,0.2115
42896,0,0.0817
42897,1,0.6482
42898,1,0.8245
42899,0,0.0557
42900,0,0.2984
42901,1,0.8047
42902,0,0.1951
42903,1,0.5467
42904,0,0.3249
42905,0,0.0079
42906,0,0.1097
42907,0,0.48
42908,1,0.9233
42909,0,0.2408
42910,0,0.0093
42911,1,0.9094
42912,0,0.272
42913,0,0.1412
42914,0,0.2465
42915,1,0.7434
42916,0,0.0007
42917,0,0.1126
42918,0,0.4962
42919,0,0.3581
42920,0,0.4473
42921,1,0.8259
42922,1,0.8943
42923,1,0.9308
42924,1,0.8308
42925,0,0.4547
42926,0,0.0472
42927,0,0.2547
42928,0,0.4296
42929,0,0.043
42930,1,0.7268
42931,0,0.4593
42932,1,0.8859
42933,0,0.0458
42934,1,0.9633
42935,0,0.4073
42936,1,0.961
42937,1,0.8157
42938,1,0.9498
42939,0,0.0862
42940,0,0.3152
42941,1,0.6923
42942,0,0.0892
42943,1,0.9394
42944,0,0.3211
42945,1,0.6611
42946,0,0.466
42947,0,0.1226
42948,0,0.411
42949,0,0.077
42950,1,0.8897
42951,0,0.2035
42952,0,0.2238
42953,1,0.8446
42954,0,0.4101
42955,1,0.9474
42956,0,0.1908
42957,1,0.5038
42958,0,0.2294
42959,0,0.326
42960,0,0.069
42961,0,0.4061
42962,1,0.9381
42963,0,0.1072
42964,0,0.0184
42965,0,0.0106
42966,1,0.916
42967,1,0.8713
42968,0,0.0015
42969,0,0.102
42970,0,0.0263
42971,0,0.2719
42972,1,0.8758
42973,1,0.8787
42974,0,0.0277
42975,0,0.1904
42976,0,0.1472
42977,0,0.1168
42978,1,0.9281
42979,0,0.1283
42980,1,0.8267
42981,0,0.2779
42982,0,0.2998
42983,0,0.0769
42984,0,0.3132
42985,1,0.6055
42986,1,0.831
42987,1,0.9467
42988,0,0.0449
42989,0,0.3487
42990,1,0.7481
42991,0,0.0473
42992,0,0.0525
42993,0,0.1257
42994,0,0.4481
42995,1,0.7514
42996,0,0.1287
42997,1,0.849
42998,1,0.8165
42999,1,0.9199
43000,1,0.5551
43001,0,0.0554
43002,1,0.5497
43003,1,0.8746
43004,1,0.6847
43005,0,0.1034
43006,1,0.8319
43007,0,0.3997
43008,0,0.1425
43009,0,0.1762
43010,1,0.5378
43011,0,0.1297
43012,1,0.5825
43013,0,0.1634
43014,1,0.6486
43015,0,0.147
43016,1,0.502
43017,0,0.2958
43018,0,0.1026
43019,0,0.2506
43020,1,0.7857
43021,0,0.2201
43022,0,0.3181
43023,1,0.6462
43024,0,0.0648
43025,1,0.5625
43026,0,0.4678
43027,0,0.0382
43028,0,0.1143
43029,1,0.5822
43030,0,0.194
43031,0,0.0418
43032,0,0.0199
43033,1,0.7749
43034,0,0.1597
43035,0,0.2872
43036,0,0.0613
43037,0,0.0415
43038,0,0.4097
43039,0,0.3749
43040,0,0.2494
43041,0,0.1956
43042,0,0.0006
43043,1,0.7043
43044,0,0.0394
43045,0,0.0934
43046,1,0.8763
43047,0,0.1194
43048,0,0.1006
43049,0,0.0798
43050,0,0.3738
43051,0,0.1107
43052,0,0.015
43053,1,0.7416
43054,0,0.0411
43055,0,0.0898
43056,0,0.3247
43057,0,0.102
43058,1,0.9489
43059,1,0.8473
43060,0,0.0135
43061,0,0.056
43062,1,0.5146
43063,1,0.7801
43064,1,0.8446
43065,0,0.3004
43066,0,0.2476
43067,0,0.0557
43068,1,0.8797
43069,0,0.052
43070,0,0.1751
43071,0,0.0009
43072,0,0.0029
43073,0,0.3501
43074,1,0.6909
43075,0,0.1884
43076,0,0.0112
43077,0,0.2793
43078,0,0.3051
43079,1,0.6065
43080,0,0.0446
43081,0,0.1007
43082,0,0.177
43083,0,0.0546
43084,0,0.0256
43085,0,0.0011
43086,0,0.0172
43087,1,0.6778
43088,0,0.1149
43089,1,0.9171
43090,1,0.7891
43091,1,0.9212
43092,0,0.0139
43093,1,0.9144
43094,0,0.4012
43095,0,0.0285
43096,1,0.6082
43097,0,0.1372
43098,1,0.5616
43099,1,0.8745
43100,1,0.503
43101,0,0.3122
43102,1,0.6542
43103,0,0.0141
43104,0,0.0279
43105,0,0.3113
43106,0,0.4109
43107,1,0.5534
43108,0,0.063
43109,0,0.3558
43110,1,0.9278
43111,0,0.3927
43112,1,0.9022
43113,0,0.2434
43114,1,0.7407
43115,0,0.3201
43116,1,0.7186
43117,0,0.1032
43118,0,0.1974
43119,1,0.8185
43120,1,0.8123
43121,0,0.0657
43122,0,0.4499
43123,1,0.8257
43124,1,0.8745
43125,1,0.7072
43126,0,0.2101
43127,0,0.4865
43128,1,0.9765
43129,1,0.7784
43130,0,0.3605
43131,1,0.6291
43132,0,0.1499
43133,1,0.8338
43134,1,0.5795
43135,1,0.7418
43136,0,0.2062
43137,0,0.1974
43138,0,0.1328
43139,0,0.1458
43140,0,0.2051
43141,0,0.1211
43142,1,0.9511
43143,0,0.2844
43144,1,0.8647
43145,1,0.9223
43146,0,0.0605
43147,0,0.108
43148,1,0.867
43149,0,0.0183
43150,1,0.8487
43151,0,0.0207
43152,0,0.0338
43153,0,0.2768
43154,0,0.0926
43155,0,0.1634
43156,0,0.0571
43157,0,0.0438
43158,1,0.707
43159,0,0.1988
43160,1,0.8879
43161,0,0.0148
43162,0,0.2684
43163,0,0.0601
43164,0,0.0337
43165,1,0.8355
43166,0,0.0483
43167,0,0.0118
43168,0,0.0058
43169,1,0.6259
43170,0,0.0583
43171,1,0.8887
43172,1,0.9891
43173,0,0.0839
43174,1,0.8884
43175,1,0.9376
43176,0,0.3334
43177,0,0.0436
43178,0,0.0452
43179,1,0.7168
43180,1,0.9193
43181,0,0.1398
43182,1,0.9678
43183,0,0.0033
43184,1,0.8653
43185,1,0.9484
43186,0,0.0036
43187,1,0.6791
43188,1,0.5757
43189,0,0.0216
43190,0,0.2712
43191,0,0.3711
43192,1,0.8352
43193,0,0.1685
43194,0,0.3267
43195,0,0.1699
43196,1,0.7755
43197,0,0.3004
43198,1,0.9377
43199,0,0.0084
43200,0,0.3411
43201,1,0.5981
43202,0,0.1328
43203,0,0.0702
43204,0,0.3463
43205,0,0.0917
43206,1,0.7469
43207,0,0.002
43208,1,0.9307
43209,0,0.2719
43210,0,0.2329
43211,0,0.3202
43212,0,0.4344
43213,0,0.2643
43214,0,0.1006
43215,0,0.2703
43216,1,0.6743
43217,0,0.0471
43218,1,0.695
43219,0,1e-04
43220,0,0.2611
43221,1,0.7931
43222,0,0.3882
43223,0,0.0085
43224,0,0.0592
43225,0,0.0945
43226,1,0.7435
43227,1,0.7409
43228,0,0.0844
43229,0,0.2038
43230,0,0.0002
43231,1,0.801
43232,1,0.503
43233,0,0.2371
43234,0,0.3875
43235,0,0.0033
43236,0,0.0028
43237,0,0.235
43238,0,0.1477
43239,0,0.0922
43240,0,0.0517
43241,1,0.7155
43242,0,0.169
43243,1,0.5952
43244,1,0.8891
43245,1,0.5759
43246,0,0.0074
43247,0,0.2036
43248,1,0.5671
43249,1,0.8842
43250,1,0.7427
43251,1,0.5054
43252,1,0.9632
43253,0,0.0839
43254,1,0.7389
43255,1,0.9152
43256,1,0.8226
43257,0,0.1299
43258,1,0.9113
43259,0,0.0027
43260,1,0.9535
43261,0,0.2584
43262,0,0.1412
43263,1,0.5259
43264,0,0.4202
43265,1,0.6652
43266,1,0.8508
43267,0,0.2493
43268,0,0.0524
43269,0,0.0009
43270,1,0.7965
43271,0,0.0542
43272,1,0.5018
43273,1,0.9112
43274,0,0.0356
43275,0,0.207
43276,0,0.3058
43277,0,0.4231
43278,1,0.953
43279,1,0.774
43280,0,0.1198
43281,0,0.0225
43282,0,0.4446
43283,1,0.868
43284,0,0.1851
43285,0,0.1803
43286,1,0.8237
43287,0,0.385
43288,0,0.1351
43289,1,0.8386
43290,0,0.0027
43291,0,0.1124
43292,0,0.109
43293,1,0.8225
43294,0,0.3936
43295,1,0.6687
43296,1,0.8074
43297,1,0.6187
43298,0,0.1224
43299,0,0.002
43300,0,0.0844
43301,0,0.4588
43302,0,0.4339
43303,0,0.2355
43304,0,0.2142
43305,0,0.0514
43306,1,0.7149
43307,0,0.158
43308,1,0.528
43309,1,0.9584
43310,0,0.2533
43311,0,0.1866
43312,0,0.1111
43313,1,0.8811
43314,0,0.2996
43315,1,0.969
43316,0,0.4128
43317,0,0.1944
43318,0,0.1718
43319,0,0.3404
43320,1,0.7861
43321,1,0.715
43322,0,0.2492
43323,1,0.8141
43324,0,0.2367
43325,0,0.2978
43326,0,0.0156
43327,1,0.714
43328,0,0.3399
43329,0,0.3562
43330,0,0.1916
43331,0,0.0273
43332,1,0.9574
43333,0,0.3047
43334,0,0.3488
43335,0,0.077
43336,0,0.0134
43337,1,0.8039
43338,1,0.661
43339,0,0.0154
43340,0,0.0254
43341,1,0.9672
43342,1,0.6731
43343,1,0.8042
43344,0,0.213
43345,0,0.2634
43346,1,0.7252
43347,1,0.5462
43348,1,0.9634
43349,0,0.0927
43350,0,0.0763
43351,1,0.927
43352,1,0.7885
43353,1,0.9295
43354,1,0.8609
43355,1,0.7046
43356,0,0.0004
43357,1,0.9315
43358,0,0.0059
43359,0,0.1861
43360,0,0.2976
43361,0,0.0347
43362,0,0.0181
43363,0,0.0463
43364,0,0.2806
43365,1,0.8322
43366,1,0.8213
43367,1,0.8173
43368,1,0.9172
43369,0,0.2085
43370,1,0.9139
43371,0,0.28
43372,0,0.3402
43373,1,0.7877
43374,0,0.0751
43375,0,0.1064
43376,0,0.133
43377,1,0.6723
43378,1,0.8232
43379,0,0.0084
43380,1,0.846
43381,0,0.1376
43382,0,0.056
43383,0,0.282
43384,1,0.884
43385,0,0.0031
43386,1,0.6594
43387,0,0.0128
43388,1,0.8873
43389,1,0.9767
43390,0,0.1537
43391,0,0.3057
43392,0,0.0643
43393,0,0.2741
43394,1,0.599
43395,1,0.7584
43396,0,0.1957
43397,0,0.1022
43398,0,0.3238
43399,1,0.937
43400,0,0.3329
43401,1,0.9485
43402,0,0.0484
43403,0,0.4114
43404,0,0.1786
43405,0,0.0576
43406,1,0.5667
43407,0,0.1061
43408,1,0.7638
43409,0,0.0773
43410,1,0.5523
43411,1,0.8465
43412,0,0.0884
43413,1,0.6645
43414,0,0.0568
43415,0,0.1755
43416,1,0.8212
43417,0,0.0464
43418,1,0.8827
43419,1,0.8139
43420,0,0.1011
43421,1,0.9019
43422,1,0.9773
43423,0,0.1959
43424,0,0.057
43425,0,0.1318
43426,1,0.9279
43427,1,0.9179
43428,1,0.8515
43429,1,0.8568
43430,0,0.0628
43431,1,0.6454
43432,0,1e-04
43433,0,0.1798
43434,1,0.6921
43435,0,0.0011
43436,1,0.9053
43437,0,0.0192
43438,0,0.1516
43439,1,0.7113
43440,0,0.0029
43441,1,0.9604
43442,0,0.0814
43443,1,0.8449
43444,1,0.7264
43445,0,0.2859
43446,1,0.8573
43447,1,0.8547
43448,0,0.2779
43449,0,0.0824
43450,1,0.7849
43451,0,0.0258
43452,0,0.0589
43453,1,0.7834
43454,0,0.125
43455,1,0.8029
43456,0,0.1067
43457,0,0.2732
43458,1,0.7343
43459,0,0.1001
43460,1,0.7594
43461,0,0.0612
43462,0,0.3959
43463,0,0.3923
43464,0,0.2254
43465,0,0.0147
43466,0,0.0782
43467,0,0.0756
43468,0,0.0168
43469,0,0.0691
43470,0,0.0177
43471,1,0.681
43472,0,0.289
43473,1,0.6602
43474,0,0.2453
43475,0,0.017
43476,0,0.1791
43477,0,0.0042
43478,0,0.1805
43479,1,0.9538
43480,1,0.9069
43481,0,0.1008
43482,1,0.9694
43483,1,0.5976
43484,0,0.131
43485,0,0.0897
43486,0,0.0012
43487,1,0.6007
43488,0,0.3719
43489,1,0.8444
43490,0,0.1364
43491,0,0.0685
43492,0,0.0939
43493,0,0.3705
43494,0,0.041
43495,0,0.0588
43496,1,0.7477
43497,1,0.8234
43498,1,0.8478
43499,0,0.3227
43500,1,0.5721
43501,1,0.7909
43502,1,0.8154
43503,0,0.0182
43504,0,0.1114
43505,0,0.0855
43506,1,0.8036
43507,0,0.0054
43508,1,0.9567
43509,1,0.8428
43510,0,0.1279
